status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,tuid,high,,16,16,Goy1MJ4BXb1gYwgPz7Tu,Goy1MJ4BXb1gYwgPz7Tu,,,c6185d12ba9ea752,c6185d12ba9ea752,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,17,17,G4y1MJ4BXb1gYwgPz7Tu,G4y1MJ4BXb1gYwgPz7Tu,,,2a205804ddc4af19,2a205804ddc4af19,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,18,18,HIy1MJ4BXb1gYwgPz7Tu,HIy1MJ4BXb1gYwgPz7Tu,,,0bd4e816b9b9021b,0bd4e816b9b9021b,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,19,19,HYy1MJ4BXb1gYwgPz7Tu,HYy1MJ4BXb1gYwgPz7Tu,,,ce3471dc3601a45a,ce3471dc3601a45a,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,20,20,Hoy1MJ4BXb1gYwgPz7Tu,Hoy1MJ4BXb1gYwgPz7Tu,,,e9fe06cbc402806d,e9fe06cbc402806d,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,21,21,H4y1MJ4BXb1gYwgPz7Tu,H4y1MJ4BXb1gYwgPz7Tu,,,923c42cfd887f48f,923c42cfd887f48f,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,22,22,IIy1MJ4BXb1gYwgPz7Tu,IIy1MJ4BXb1gYwgPz7Tu,,,9b5a2bf0773ae75d,9b5a2bf0773ae75d,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,23,23,IYy1MJ4BXb1gYwgPz7Tu,IYy1MJ4BXb1gYwgPz7Tu,,,2a5ddc6848edc158,2a5ddc6848edc158,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,24,24,Ioy1MJ4BXb1gYwgPz7Tu,Ioy1MJ4BXb1gYwgPz7Tu,,,0d6dda6fec9d0db4,0d6dda6fec9d0db4,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,25,25,I4y1MJ4BXb1gYwgPz7Tu,I4y1MJ4BXb1gYwgPz7Tu,,,e048665e5638094c,e048665e5638094c,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
